鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉中興路31~60號,131.86,住,,,1070509,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070329,280.83,5,2,6,有,無,9300000,33116,,0.0,0,申報金額、建物格局由出賣人提供，移轉土地增值稅及契稅合計﹕141665元及代辦費由出賣人支付。,RPSNMLOLNHNFFCU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路121~150號,8.58,商,,,1070504,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0750712,48.6,2,0,2,有,無,1990000,40947,,0.0,0,,RPOOMLLLOHNFFAU76CA
花蓮市,房地(土地+建物),花蓮縣花蓮市尚志路31~60號,196.2,農,,,1070413,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041015,214.68,5,2,5,有,無,15000000,69871,,0.0,0,,RPPNMLQJOHNFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮市建國路二段811~840號,229.94,住,,,1070413,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050107,498.39,0,0,0,無,無,33000000,66213,,0.0,0,,RPRNMLSJOHNFFAU47CA
吉安鄉,土地,宜昌段181~210地號,111.0,其他,,,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195000,1757,,0.0,0,公共設施保留地道路用地,RPPOMLKMNHNFFAU76CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中正路二段300巷31~60號,114.26,,特定農業區,甲種建築用地,1070426,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940218,176.36,4,2,3,有,無,9400000,53300,,0.0,0,,RPROMLLMNHNFFAU07CA
吉安鄉,土地,干城段331~360地號,50.6,,一般農業區,甲種建築用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,382500,7559,,0.0,0,,RPTNMLTLNHNFFAU87CA
新城鄉,土地,樹林段541~570地號,3263.64,,一般農業區,農牧用地,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8885250,2722,,0.0,0,,RPPNMLPLNHNFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮市華安街61~90號,33.3,住,,,1070427,土地1建物1車位0,一層,四層,其他,見其他登記事項,鋼筋混凝土造,1061229,84.28,1,2,1,有,無,5500000,65259,,0.0,0,,RPVNMLNLNHNFFAU47CA
花蓮市,土地,德安段481~510地號,13.0,住,,,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1572000,120923,,0.0,0,,RPWNMLTLNHNFFAU18CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉豐坪路三段18巷1~30號,1040.22,,一般農業區,養殖用地,1070412,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,農舍,農舍,鋼筋混凝土造,1050721,219.21,5,2,5,有,無,14500000,,,0.0,0,,RPOOMLLMNHNFFAU76CA
