鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
豐原區,房地(土地+建物),臺中市豐原區中正路511~540號,162.79,住,,,1070501,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,加強磚造,0790205,171.5,0,0,0,無,無,16700000,97376,,0.0,0,,RPSNMLLMNHNFFDB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東路991~1020號,13.99,住,,,1070503,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960927,145.03,3,2,2,有,有,9400000,64814,坡道平面,24.76,0,,RPROMLQLOHNFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段1261~1290號,7.65,住,,,1070412,土地1建物1車位1,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990112,118.21000000000001,2,2,1,有,有,7550000,66603,坡道機械,13.86,600000,,RPRPMLLLOHNFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區惠中路三段61~90號,33.14,商,,,1070420,土地1建物1車位3,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950113,300.64,4,2,3,有,有,21000000,69851,坡道平面,44.97,0,,RPOQMLMLOHNFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,16.45,住,,,1070422,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,175.41,3,2,2,有,有,11200000,63850,坡道平面,39.74,0,,RPPNMLOLOHNFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區河南路一段151~180號,20.76,住,,,1070503,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830604,166.29,3,2,2,有,有,8800000,52920,坡道機械,0.0,1000000,,RPQRMLKLOHNFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心一路391~420號,21.45,住,,,1070509,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831201,140.93,3,2,2,有,有,8880000,63010,坡道機械,0.0,0,,RPWQMLPKOHNFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,32.91,住,,,1070419,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880116,200.29000000000002,4,2,2,有,有,10760000,53722,坡道平面,0.0,0,,RPVOMLPKOHNFFCB68CA
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街50巷1~30號,9.24,商,,,1070420,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891104,136.73000000000002,3,2,2,有,有,8280000,60557,坡道平面,16.63,0,,RPTNMLSJOHNFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區櫻花路74巷31~60號,28.63,住,,,1070505,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020927,165.99,3,2,2,有,有,12700000,76511,坡道平面,26.56,0,,RPROMLLKOHNFFCB87CA
西屯區,房地(土地+建物),臺中市西屯區長安路一段29巷1~30號,17.57,住,,,1070407,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840526,100.78,3,2,2,有,有,5850000,58047,,0.0,0,,RPROMLSJOHNFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區西屯路二段271~300號,18.43,住,,,1070413,土地6建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810914,86.79,3,1,2,有,有,5150000,59339,,0.0,0,,RPWOMLNKOHNFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區長安路二段131巷1~30號,33.82,住,,,1070425,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791022,196.20999999999998,3,2,2,有,有,8000000,40773,坡道機械,0.0,0,,RPRQMLOKOHNFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段1141~1170號,9.49,住,,,1070422,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,128.06,2,2,1,有,有,8500000,66375,坡道平面,0.0,0,,RPRQMLMKOHNFFCB18CA
