鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路133之1巷1~30號,198.49,農,,,1070403,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1061220,194.05,3,1,3,有,無,14000000,72146,,0.0,0,,RPOOMLOJOHNFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路133之1巷1~30號,100.49,住,,,1070430,土地7建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061220,192.9,3,3,3,有,無,10050000,52100,,0.0,0,,RPPOMLOJOHNFFBM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路133之1巷1~30號,115.49,住,,,1070403,土地9建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061220,189.21,3,3,3,有,無,10600000,56022,,0.0,0,,RPQOMLOJOHNFFBM98CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路276巷31~60號,94.0,住,,,1070328,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590912,107.8,3,2,3,有,無,4000000,37106,,0.0,0,承買人二人,RPQNMLLJOHNFFBM58CA
南投市,房地(土地+建物),南投縣南投市自立一路1巷2弄31~60號,85.92,住,,,1070515,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051102,198.88,4,3,3,有,無,8150000,40979,,0.0,0,,RPSNMLSJOHNFFAM76CA
名間鄉,土地,新北段331~360地號,139.44,,鄉村區,乙種建築用地,1070518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,22949,,0.0,0,,RPUNMLRJOHNFFAM86CA
南投市,房地(土地+建物),南投縣南投市南陽路331~360號,16.4,住,,,1070420,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,128.75,3,2,2,有,有,2680000,20816,,0.0,0,,RPRNMLQJOHNFFAM09CA
名間鄉,房地(土地+建物),南投縣名間鄉頂?巷31~60號,90.66,住,,,1070507,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0781108,115.15,3,1,2,有,無,3800000,33000,,0.0,0,,RPSOMLOJOHNFFAM09CA
南投市,房地(土地+建物),南投縣南投市南陽路331~360號,10.49,住,,,1070502,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,82.72999999999999,2,1,2,有,有,1800000,21758,,0.0,0,,RPUNMLNKOHNFFAM56CA
南投市,土地,南山段61~90地號,92.0,住,,,1070422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2504700,27225,,0.0,0,,RPVNMLNKOHNFFAM66CA
南投市,房地(土地+建物),南投縣南投市民族路18巷1~30號,57.0,住,,,1070415,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660606,86.0,5,1,5,有,無,3680000,42791,,0.0,0,,RPWNMLNKOHNFFAM76CA
南投市,房地(土地+建物),南投縣南投市中興路466巷1~30號,12.28,住,,,1070514,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831109,107.29,3,2,2,有,有,2350000,21903,,0.0,0,,RPSNMLLMNHNFFAM88CA
中寮鄉,土地,分水寮段481~510地號,940.0,,山坡地保育區,林業用地,1070425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2128,,0.0,0,,RPUNMLLJOHNFFAM88CA
名間鄉,土地,埔中段511~540地號,378.0,,一般農業區,農牧用地,1070430,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,794,,0.0,0,"沒有臨路,地上之檳榔樹為承買人所有",RPVNMLOJOHNFFAM66CA
南投市,房地(土地+建物),南投縣南投市東山路443巷31~60號,87.36,,鄉村區,乙種建築用地,1070511,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831007,218.66,4,3,3,有,有,5800000,26525,,0.0,0,,RPXNMLOJOHNFFAM86CA
南投市,房地(土地+建物),南投縣南投市光明南路111巷1~30號,91.34,住,,,1070418,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061107,188.71,3,2,5,有,有,11180000,59244,,0.0,0,,RPOOMLOJOHNFFAM68CA
中寮鄉,土地,鄉親寮段691~720地號,7729.0,,山坡地保育區,農牧用地,1070514,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,129,,0.0,0,,RPWNMLLLOHNFFAM66CA
南投市,土地,成功段1291~1320地號,67.1,住,,,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,29806,,0.0,0,,RPRNMLPJOHNFFAM98CA
南投市,房地(土地+建物),南投縣南投市大埤街30巷31~60號,83.96,住,,,1070411,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0870525,175.39,2,3,2,有,無,4500000,25657,,0.0,0,,RPQNMLNJOHNFFAM68CA
南投市,房地(土地+建物),南投縣南投市營盤路58巷1~30號,174.23,,鄉村區,乙種建築用地,1070503,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910710,205.46,4,3,3,有,無,5500000,26769,,0.0,0,,RPPOMLRJOHNFFAM09CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路105巷1~30號,35.83,商,,,1070523,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0620730,119.33,3,1,2,有,無,3200000,26816,,0.0,0,,RPSNMLLJOHNFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路133之1巷1~30號,298.93,住,,,1070430,土地9建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1061220,248.89,4,3,4,有,無,19000000,76339,,0.0,0,,RPROMLOJOHNFFBM09CA
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮敦和路121~150號,31.34,住,,,1070430,土地4建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061220,173.06,3,2,2,有,無,7480000,50037,坡道平面,39.56,800000,,RPPNMLQJOHNFFBM98CA
草屯鎮,房地(土地+建物),南投縣草屯鎮敦和路121~150號,30.97,住,,,1070430,土地5建物1車位0,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061220,87.41,2,2,1,有,無,5050000,57774,,0.0,0,,RPWNMLOJOHNFFBM86CA
草屯鎮,房地(土地+建物),南投縣草屯鎮民權東街31~60號,145.27,住,,,1070413,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060215,298.27,5,2,5,有,無,16500000,55319,,0.0,0,,RPWNMLLLOHNFFBM76CA
仁愛鄉,建物,南投縣仁愛鄉介壽巷1~30號,0.0,,,,1070411,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0911217,65.76,4,2,3,有,無,5000000,76034,,0.0,0,,RPPNMLOJOHNFFCM88CA
草屯鎮,土地,新富寮段61~90地號,851.03,農,,,1070325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,8225,,0.0,0,共有人2人,RPVNMLQLOHNFFBM17CA
埔里鎮,土地,牛尾段1321~1350地號,644.46,,特定農業區,農牧用地,1070424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,5276,,0.0,0,,RPQNMLRJOHNFFCM66CA
國姓鄉,土地,北山坑段3481~3510地號,42393.0,,山坡地保育區,農牧用地,1070125,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23000000,543,,0.0,0,,RPPNMLRKOHNFFCM66CA
