鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南港區,房地(土地+建物),臺北市南港區合順街8巷3弄31~60號,21.0,住,,,1070409,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77.0,3,2,1,有,無,3200000,41558,,0.0,0,親友、員工或其他特殊關係間之交易。受債權債務影響或債務抵償之交易。,RPPNMLNLNHNFFDA77CA
南港區,房地(土地+建物)+車位,臺北市南港區重陽路125巷36弄1~30號,20.38,住,,,1070508,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961008,109.59,2,2,2,有,有,15600000,142349,坡道平面,24.51,0,,RPVNMLNLNHNFFDA38CA
南港區,房地(土地+建物)+車位,臺北市南港區研究院路三段1~30號,44.75,住,,,1070409,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990921,145.38,3,1,2,有,有,17350000,119342,坡道平面,41.88,0,,RPPNMLOLNHNFFDA87CA
南港區,房地(土地+建物),臺北市南港區忠孝東路六段250巷1弄1~30號,37.12,住,,,1070426,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.45,4,1,2,有,無,9134750,88301,,0.0,0,二親等間買賣,RPQNMLOLNHNFFDA97CA
內湖區,房地(土地+建物),臺北市內湖區麗山街348巷1~30號,21.75,住,,,1070412,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720613,83.45,2,2,1,有,無,12000000,143799,,0.0,0,,RPSOMLRJOHNFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區陽光街321巷1~30號,15.72,工,,,1070418,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0980312,79.18,1,0,1,有,有,13510000,170624,,0.0,0,,RPSQMLRJOHNFFCA58CA
中山區,房地(土地+建物),臺北市中山區松江路121~150號,14.53,商,,,1070320,土地1建物1車位0,二層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0611227,132.49,0,0,0,無,有,27400000,206808,,0.0,0,,RPTNMLLKOHNFFCA87CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路三段31~60號,20.27,商,,,1070331,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061020,203.95999999999998,0,0,3,無,無,62980000,321434,其他,14.87,2200000,,RPXNMLNJOHNFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段1~30號,18.99,商,,,1030901,土地3建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,239.51,4,2,2,有,有,71000000,341997,坡道平面,40.97,3100000,,RPPQMLSLNHNFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段1~30號,18.99,商,,,1031015,土地3建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,239.51,4,2,2,有,有,81130000,393019,坡道平面,40.97,3100000,,RPQRMLSLNHNFFCA68CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段1~30號,19.17,商,,,1030829,土地3建物1車位2,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,275.01,4,2,2,有,有,88210000,410568,坡道平面,76.48,6700000,,RPRRMLSLNHNFFCA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段91巷92弄1~30號,54.47,住,,,1070501,土地1建物1車位0,二層，三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771129,225.01,4,2,2,有,有,26700000,118661,坡道平面,36.49,0,,RPVOMLKMNHNFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段60巷31~60號,31.23,住,,,1070419,土地1建物1車位2,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,262.48,3,2,2,有,有,57200000,226343,坡道平面,32.74,5200000,,RPTPMLKMNHNFFCA08CA
中山區,車位,臺北市中山區長安東路一段31~60號,0.12,商,,,1070507,土地0建物0車位1,一層,十三層,其他,商業用,鋼筋混凝土造,0960810,41.36,0,0,0,有,有,2060000,,坡道平面,41.35,2060000,,RPVOMLLMNHNFFCA28CA
